Tweet	Runnynose
最悪だ。風邪ひいた。寒気と頭痛、だるいし。ぼーっとするし。明日休めるかな。	0
妻が花粉症らしいが、まさか微熱が出る事もあるとは思わなかった。体が過剰反応して疲れてしまうらしい。	1
鼻水と風邪ってなんか関係あるよね。	1
この頭痛の感じ絶対風邪だー。	0
ところで頭痛がひどいんですけど誰か助けて	0
風邪の方はどうぞお休みください。	0
昨日から熱が出て、のども腫れている。いくらでも眠れる。明日も仕事は休むことにする。	0
熱が出てリンパが腫れた	0
スペインの風邪はすごいらしいよー。	0
風邪で高熱が出てて咳が止まらん。辛い。	0
テレビのニュース見たら、東京に感染者いるって。熱でるわ。	0
なんか熱ある気するけど気のせいだと思ってテレビ見てる	0
最近何時も起きるとお腹が痛くて、トイレに行くと下痢なんだ。	0
頭痛が三日ぐらい続いてるのでそろそろ医師に診てもらったほうがいいかもしれない。	0
犬と遊んでたら鼻づまり治った！	0
花粉症に効果があると噂の眼鏡を買ったぞ	0
咳が出るときはマスクをするのがエチケットでしょう。	0
頭痛の症状ソロソロ治らないかな・・。	0
咳をし過ぎると腹筋痛くなるし頭まで痛くなるでしょう？	0
最悪、風邪ひいたっぽい。	0
下手な奴の歌聴くと耳が曲がるわ。きつくて頭痛がするっつーの。	0
頭痛がきつくて行けないとは相手に言いにくい・・・	0
鼻水が出すぎて、止まるのかどうか不安になるよ。	1
相手が話が通じない人で同じこと３回くらい繰り返しても全然理解してくれないし、本当に頭痛がした。あんな宇宙人みたいな人いるんだね	0
花粉症には、トマトを食べる療法があるって本当かな。	0
家に帰ると、娘が熱を出していたよ。リンパも腫れてるし。明日病院に行こう。	0
来春は花粉が少ない見通しだから、花粉症もやわらぐだろう。	0
昨日食った丼にあたったぽいわ。下痢〜	0
咳を抑える薬が必要だ。	0
妻が花粉症らしくひっきりなしに鼻をかんでいるが、微熱もあるようで風邪だろと諭すも、まさか、と一言。相変わらず強がりだな。	1
鼻づまりってもうなんも感じなくて無理だ。	1
熱あるけど夫の弁当つくんなきゃ	0
頭痛が激しいから、今日はもう帰ることにした。	0
下痢をすると思い出すことがある。幼い頃日本代表が出ているサッカーの試合を見ていて爆笑した時のことだ。何故なのかさっぱりわからない。	0
契約を取れないと頭痛が・・・	0
ニュースで誰かが、東京では感染症で熱高い人が多いって言ってた。	0
一日中咳をしてたらすごく疲れた。	0
最近のゆとりは咳のエチケットすら知らんのか	0
やばい、お腹痛い、下痢かも	0
下痢気味でお腹が痛い。	0
微熱があるんだけど花粉症の症状じゃないよね？	1
下痢でお腹の調子が悪い。	0
朝から頭痛。飲みすぎた。	0
下痢になっちゃって最近具合が悪いよー。	0
スペインで風邪が流行っているみたい。	0
娘も嫁も、高熱で今日は会社休んで看病。	0
インフルのワクチンなんて型が外れたら役に立たないから御粗末だよな。	0
咳や痰が出て、風邪薬で対処していたものの、高熱が出始めたので病院に行ってみたら、全く違う病気と診断された女性のブログを読みました。	0
起きたらお腹痛くてやばいなって思ってたら、下痢だった。	0
犬が風邪ひいたみたいで鼻水垂らしてる・・・	0
遂に花粉症になったかもしれない！	1
下痢のせいで仕事に集中できない。	0
アトピー患者は花粉症になりやすいの？	0
さっさと鼻づまりを解消したいよー。	1
この季節は風っぴきも熱出す子も多いね	0
痰が絡むようになってきたから意識して手洗い。	0
鼻風邪に効く薬を教えてください。	1
花粉症が治ったと思っていたが再発した。	1
風邪で眠いからって、ソファーでうたた寝すると悪化する。	0
今年は花粉少ないから花粉症の人は幸せ	0
朝から下痢気味。今日は大事な仕事があるのにこれはやばいで御座る。	0
咳が酷いからすごく疲れる。	0
スペイン旅行で風邪をもらってきたっぽい	0
遂に花粉症が再発しちゃったよ。かなり久し振りだなあ。	1
今日は薬のおかげで、なんか鼻づまりも止まる気配がする。	1
花粉症対策に使う時間がもったいない	0
巫女さんを見ると体が熱っぽくなる。	0
熱出てるって言って保健室で携帯見てる	0
犬は大好きなのに触るとすぐ鼻づまり。	1
天気頭痛がきた。こんなにきついとは思わなかったな	0
最近お腹が弱くて下痢気味なんだよね・・・	0
咳がすごいから、手洗いをしっかりしなきゃ。	0
下痢って英語で何て言うの、って祖母に聞いたら爆笑された	0
これから会う相手のことを考えると頭痛がするよ	0
リンパ腫れてるし、熱もあるし完璧風邪ひいた。	0
今年一番のひどい咳・痰だなー	0
来春は檜の花粉少ないらしいから花粉症も楽かなと思って対策全然してない。	0
熱があるけど問題ないとか、本当に大丈夫だろうか	0
頭痛には風呂がいいんだってほんとかな？	0
風邪治りかけだからまだ今一だな。頭痛もするし辛い。	0
咳のし過ぎで腹筋割れた	0
鼻づまりがひどくてやばい。なんかやんなってきた。	1
鼻水垂れてる姿を見られて、嬉しい人はいないだろう	1
花粉症には薬が処方されるけど、持続時間は長いけど眠くなるからなあ。	0
鼻づまりになったのが治ったと思ったら、なんか今度は鼻水が出るようになった	1
大人になってからのおたふく風邪ってやばいらしいよ。	0
きつい頭痛が襲っている僕は今どこにいるんだろう？	0
熱は下がったけど、咳が止まらなくてもういい加減腹筋が痛いよー。	0
せっかくのスペインなのに風邪ひいた・・・。	0
兄がインフルになったらしい。	0
咳を止める薬を飲むと副作用で頭がぼーっとしてくるからこの状況で飲むというのは微妙だ。	0
風邪っぽい、最悪だ。本格的な寒気、頭痛。	0
インフルにかかってしまい異常にのどが渇く。	0
熱があるから眠れるか微妙だ	0
春だけじゃなく秋にも花粉症があるらしい。	0
秋なのに花粉症がひどいんだけど・・・。	1
季節の変わり目で風邪ひいて熱出たー。	0
頭痛がするからお風呂で半身浴する。	0
鼻水は止まったけど、会社を休む。	0
薬を飲んだら鼻水止まったぜ！	0
微熱なんだけど花粉症か風邪か判別し難い。	1
上司は頭痛がすると言って早く帰った。	0
生まれてこのかたおたふく風邪になったことがないから怖い。	0
熱があって眠れるか微妙だ。	0
なんか今日はすごく鼻水がやばい。	1
涼しいところに移動して熱を冷まそうよ。	0
妻も遂に花粉症になってしまった。	1
翻訳してたけど、頭痛をうまく訳せなーい。	0
痰が止まると少し楽なのになあ。	0
薬飲んで、やっと鼻水がひいてきた。	1
今日鼻づまりがやばくて、なんか頭痛してきた。	1
熱と鼻水が出ると完全に風邪になったと思う。	1
鳥インフルエンザのニュース見ると鳥かわいそうって思う。	0
遂に私も花粉症デビュー！	1
熱下がったけど咳が止まることはなかった。	0
みんな下痢って、まさか集団食中毒？？	0
あとからわかったけどインフルだった友達と握手しちまった。	0
中国ではまだ鳥インフルエンザが猛威を奮ってるらしいし、今が季節だしより一層気をつけないとね。	0
いくら美人でも鼻水とか体液は生理的に無理だ	0
インフルなので外出できません！	0
しらす丼を食べて下痢になったことを思い出すよ。	0
下痢で腹が痛いので助けて	0
ゆとりは口を抑えて咳も出来ないのかよ。	0
朝から頭痛がやばいから帰宅するわ	0
急ぎの翻訳の仕事が舞い込み、土日もつぶれてしまうのが頭痛の種だ。	0
頭痛はひどいし、鼻水は止まらないし、今日は最悪の一日だわ。	1
おたふく風邪は感染力が強いらしいから、大変だね。	0
来春は花粉が少ないとか言われても、秋の花粉症のほうが重症な私には関係ない。	0
鼻づまりがやばいからなんか今日行くのやめた。	1
風邪ひいたよ、熱も上がってきたから早めに解熱剤。	0
起きると、ちょっと下痢	0
咳き込んだときのエチケットがちゃんとできてない人って多いよね。	0
インフルの検査受けたけど陰性だった。	0
そろそろ朝だし軽い頭痛もあるから風呂入って寝る。	0
わざとらしい咳をしないでほしいな。	0
まさか妻が花粉症になるなんて！	1
朝起きた頭痛がひどい。会社休もうかな。	0
来春こそ、花粉症対策のために病院で注射をしてもらわなければ。	0
花粉症に効果のある食べ物って何かな？	0
宇宙の話を聞いていたら難しくて、頭痛がしてきた。	0
熱あるしリンパ腺めちゃ腫れてるけど、今日は休む訳にいかない、がんばれ俺	0
頭痛がさっきよりは軽くなったけど帰って寝る。	0
ネパール料理辛すぎて下痢した。	0
今日は風が強くて、目が充血して痛むようになった。まさかの微熱も出てきた。こんなにひどい花粉症の症状は久し振りだ。	1
寒気がする。本格的な風邪だ。これで休める。	0
今日は風邪気味や。鼻水止まらん。	1
インフルのワクチンを打ちに行ったよ！	0
高熱で咳が止まらん・・・今すぐ風邪薬が必要なのにこう言う時に限って手元にない。	0
スペインでは新たな注目すべき風邪が流行ってるらしいね	0
インフルで部活休むー	0
熱だけどまあ問題ないよ。	0
寒気がするのは風邪の初期症状っぽい。	0
お腹痛い、熱がしんどい、今日は休む	0
仕事する相手が風邪だと大変だ。	0
なぜかこの季節になると熱出すんだよね・・・。	0
今日は大事な面接日なので下痢みたいなものは勘弁してくれ。	0
インフルエンザから回復しました！	0
下痢だと集中できないから仕事にならん。	0
熱だけでなく鼻水も出てきたよ	1
鼻水、鼻づまりなどいわゆる鼻風邪です。熱はないのに部活は無理だ。	1
インフルエンザが流行る季節が来た	0
来春は花粉症の人が増えるみたい。	0
風邪で頭がぼーっとしてる。	0
ぼーっとするなーっと思ってたら、どうやら風邪っぽい。言われてみればだるいし本格的に参ってくる前に休もう。	0
だるいし熱っぽい。でも風邪だったら会社休めるかも。	0
鼻水を止める薬を飲んだら眠くてやばい。	1
高熱で咳がとまらない。	0
この時期、アイドルの握手会で、インフルエンザ対策とかどうしてるんだろうな。集団感染の温床だろ、あれ。	0
ところで契約書の翻訳作業はどうなったんだろう。きついスケジュールだから頭痛が酷いらしい。相手に聞いてみるわ。	0
今年は花粉症の人は少ないようだ。	0
昨晩インフルエンザのやつと握手しちゃった、握手でも移るのかな	0
妻が花粉症でつらそう。	1
朝から寒いし下痢だしつらいことしかない。	0
熱出して今日はずっとテレビみてる。また東京行きたいな。	0
この季節はインフルが流行るから早くワクチン打ちなよ。	0
まさか鳥のインフルだった	0
手術控えてるのにインフルになった、どうしよう	0
インフルエンザのワクチンの予約取れた！	0
ようやくインフルエンザから回復してきたけどまだ本調子じゃない。	0
花粉症で微熱がでた。怖いわ	1
ところで頭痛に効く何か良薬知ってる？	0
おたふく風邪によく効く薬を開発したとかいつ科学者がスペインから来日するらしくて、相手するようにって言われて準備が大変だ。	0
鼻づまりがひどすぎて頭痛がする。	1
この時期は鼻水に悩まされることがないから大好きだ。	0
花粉症対策でマスク買った。	0
鳥インフルエンザって、海外から来るらしいよ。	0
昨晩の熱はインフルだったのか	0
鼻水が止まらなくてお腹も調子が悪い。これで熱も出てきたら週末の旅行は行けるのか微妙だ。	1
ネパールにいったら食べ物があわなくてお腹壊して下痢になった・・・	0
下痢って英語でなんて言うのかな。	0
咳が激しい、腹筋激痛	0
鼻水が止まるかもと思ったのだ。	1
花粉症つらすぎ。来春は檜花粉は少ないっていうけど対策はしないと。	1
熱下がらんのだけど休むべきだろうか。	0
病院で花粉症に効果がある薬を処方してもらった。	1
インフルにかかったときの鼻粘液をとる検査がつらい。	0
熱が出たんだけど風邪引くにしては季節も遅いし、暖かくなってきたからってエアコンで涼しくしすぎたかな。	0
契約の話聞いたら頭痛が止まらない	0
風邪でぼーっとするし、家事できない。参った。	0
お兄ちゃんがインフルエンザになっちゃった。爆笑。	0
風邪で寒気がするよ。	0
花粉症で微熱が続くのもあるようだ。	0
お腹が痛いと思ったら下痢だった。	0
まさか私が花粉症になるとは思ってもなかったわ。	1
朝起きたら昨日よりも頭痛がひどくなってた。	0
下痢でサッカー練習を休んじまったぜ	0
頭痛がきついときの対策がわからない。	0
頭痛のときに拍手を聞くとさらにきつい。	0
朝から頭痛がするし、だるいから、早退して今帰宅した。	0
本格的に風邪引いたかも知れない	0
お腹が痛いと思ったら、下痢でした。	0
東京の実家から送られてきた写真には愛犬の姿があった。鼻風邪をひいてすっきりしなかったけど、なんか元気をもらって嬉しかった。	1
集団で下痢になった。笑う	0
インフルエンザに鳥もなるんだってさ、怖いね	0
せっかくの旅行だってのに風邪をひくなんて最悪だ。	0
わざとらしい咳払いして来るおばさんキライー	0
鼻風邪の薬飲んだらめっちゃ喉乾く。	1
花粉症に効果のあるお茶とかないかな。	1
来春からは完璧に花粉症対策とるつもり！	0
熱があるんでまだ仕事に復帰できねえ	0
鼻づまりを解消したい！このままでは無理だ。	1
この翻訳の量はきつすぎて頭痛の種だ。	0
頭痛以外はどこも具合悪いところないのにな。	0
下痢って英語でなんていうんだろう。	0
頭痛が一番怖くて、めったにならないので対策を教えてください。	0
娘の熱が下がりません。	0
昨晩のテレビのインフル特集見たら、マスク買いに行きたくなったわー	0
病院行って診てもらったら、痰はむしろちゃんと吐いた方がいいっぽい。俺いままでずっと飲んでた・・・	0
彼のこじらせブログ読んでたら風邪っぽくなった。	0
サッカーしたら下痢がなおったよ	0
インフルエンザになって部活が休みになったよー。	0
本格的に風邪を引いたらしく、だるいし頭がぼーっとする。	0
咳して寝言でマスクだってさ	0
風邪による熱だと思って強い解熱剤を飲んでいたのに違う病気だったらしい。	0
今日朝から何も食べてないのに下痢。やばい。	0
バイキングだからってちょっと食べすぎてやばい、具合悪いってかお腹痛くて下痢っぽい。	0
今年の風邪は熱が上がるってニュースで言ってた。気をつけよ。	0
鼻づまり解消スプレーがすばらしすぎる。	1
鼻づまりが酷すぎて寝るの無理だ	1
鼻風邪が長引いててつらい、東京に来てから風邪ひきやすくなったよ・・・実家の犬と戯れたい・・・	1
鳥インフルエンザってこわっ。	0
朝から下痢になった。	0
最近微熱続きなんだけど、これも花粉症のせい？	1
ネパールに旅行に行った際に下痢になって大変だったよ。	0
下痢って英語でなんていうの？	0
頭痛がひどすぎる。この苦痛から解放されたい。	0
最近寒いからお腹冷えたかな〜。昨日から下痢やばい。	0
鼻づまりの解消方法、誰か教えて。	1
朝起きたら具合悪くて下痢でお腹もやばい。	0
咳のときには、マスクするのがエチケット。	0
携帯電話のバッテリーがすごい熱持ってるんだけどやばくない？	0
同僚め。わざとらしく咳しやがって。	0
寒気がするなあと思ったら案の定風邪でした。	0
熱でて動けない嫁がほしい	0
誰か熱ある人いない？	0
やばい、下痢、トイレはどこ？	0
インフルだってさ、握手できない	0
妻が花粉症になったの久し振りだ。	1
喉の痛みが治まったけど、痰がまだ続く	0
彼の巫女さんへの熱の入れようは問題だよ。誰か携帯のアプリでもいいから指摘してあげればいいのに。	0
咳がひどくて、それだけで体力を持って行かれて疲れる。	0
鼻水出すぎ。どれだけ体液あるんだ。	1
弟が熱を出したようで心配だ。	0
朝から下痢でお腹がやばい	0
リンパが腫れると熱が出るんだっけ？	0
鼻水が垂れまくってる。行くのは無理だ。	1
喉腫れるし微妙にだるい。バイト行きたくねぇからむしろ熱出てほしいわ	0
また契約書類が追加で必要だってことで、頭痛が止まらないぜ。	0
英語で下痢って何ていうのかな？	0
もう既にインフルエンザワクチンが不足してるらしい。	0
こんなに激しい頭痛は久しぶりだ。やばい。	0
妻の花粉症をどうにかしてあげたいな、、	1
花粉症対策何がオススメ？	0
また腹が痛くなってきて下痢になった悪夢を思い出すよ。	0
鼻水止まる風邪薬はどれ？	1
電話してたら携帯が熱持ってこわい	0
携帯の熱がハンパない！	0
今期は早くも花粉症になっちゃったっぽくて、精神的にも肉体的にも疲れる。	1
弟が熱で学校休んでて羨ましい。	0
謎の熱で休んだ。だるい	0
咳を我慢してたら、腹筋がひきつって痛い・・・。	0
ただの下痢だと思ってたら違うみたい。	0
兄と外出する予定だったけどインフルエンザで現在高熱格闘中	0
集団で下痢とかヤバイでしょ	0
熱が出たけど鼻水は垂れてないよ。	0
兄がインフルになったらしい	0
ノロウイルスに集団感染して下痢でつらい。	0
下痢なんで、今日は早く起きる。	0
風邪引いて鼻水止まらない。	1
鼻風邪がやばい。なんか頭痛もするしただの風邪でもないのかもしれない。やばい。	1
インフルエンザのワクチンは打ったほうが良いのかな？	0
下痢で、やばい、お腹痛い	0
鼻づまりがひどいから今日は練習は無理だ。	1
３月になってから喉が痛む。花粉症で今まで喉は痛まなかったけど、これ絶対花粉症の症状だよな。	1
契約が取れなくて頭痛がしてきた	0
風邪を引くと全身がだるくなる。	0
初詣の巫女さんは寒い中あんな格好で熱を出さないのだろうか？	0
くしゃみした瞬間、花粉症かと間違えるところだった。	1
風邪でなんか鼻水やばい。	1
鳥インフルエンザ流行ってるよね。怖い。	0
花粉症で病院に行った時に処方された薬もちゃんと使ってるんだけど、効果があまり出ないんだよね。	1
なぜかクラシックを聴くと頭痛が和らぐんだけど俺だけ？	0
今回に頭痛が激しいのは久し振りだ。	0
おたふく風邪なったことないんだけどそんなつらいの？	0
咳をする時は手当てるのがエチケットだよ！	0
この人の話を聴くと頭痛がする。相手が悪いのか、自分が悪いのか。	0
熱は下がったけど、咳はまだ微妙だな。	0
鼻水が今日やばいので休むかもしれません。	1
今年の花粉症の患者は少ないみたいよ	0
久々に着信があって鼻水出た。	0
部活でインフルエンザが流行って部活停止らしい。	0
インフル流行の季節がまたやってくる。	0
あかん。咳込みすぎて頭まで痛くなってきた	0
頭痛がやばいから、今日は風呂入らずに早めに寝る！	0
娘が熱を出したみたい。病院に連れていくのが遅くなったらいけないから、テレビを消して病院に向かうよー。	0
熱があってまだお腹が腫れる。	0
インフルにかかったけど回復してきた。水分沢山取らなくちゃ。	0
熱あるんだけど巫女のバイト行っていいかな	0
咳止め飲んだけど全然治まりそうになくって、痰も混ざってきてる。	0
あまりの寒さでさっき温めたばっかりの弁当からどんどん熱が奪われていく。	0
早くも花粉症になったのは私です。	1
明日から旅行なのに寒気が・・・風邪かな？最悪だ。	0
咳だけでなく、高熱も出てきた。薬が必要だよ！	0
お腹を冷やして下痢になった。	0
頭痛がしてたから相手の話ちゃんと聞いてなかった・・・。	0
来春は花粉症そんなにひどくならないって話だけど本当なのかな？	0
数日前から高熱に咳もでて死にそう。	0
風邪薬飲んだら眠くなってきた。	0
弟が熱出してるって聞いて弁当買って見舞いに来てるんだけど、普通にお腹空いたってがっついてて本当に病気だったのか微妙だ。	0
鼻水止まらない、仕事無理だ。	1
薬飲んだら咳とまった！	0
お腹がいたいとちょっと下痢かもと心配になるぞ。	0
翻訳中に頭痛発生しましたね。	0
人前では咳のエチケットを守ろう	0
人生初のインフルエンザ、ようやく回復してきた！	0
痰がからんでひど過ぎるプレゼンしたから、単位微妙だ。	0
会社でインフルのワクチンを受けてきた。思ったより痛くなくてほっとした	0
ちょっと下痢なのかもしれない。	0
弟から風邪うつされた、熱が出てリンパも腫れた。	0
風邪をひいたけど、これでゆっくり休めるね。	0
下痢気味で電車に乗るのはマジで笑えない。下痢止め使うわ	0
咳のひどすぎて腹筋が鍛えられそう。頭は微妙	0
インフルエンザのワクチン打ちに行ってきた。	0
咳のしすぎか。腹筋痛い。	0
熱が出てて携帯いじるのも辛い。	0
ニュースで熱が高い人は病気知らずと言っていた	0
犬も鼻づまりになるんだ。	0
誰でもいいから風邪を一瞬で治す薬を開発しておくれ。	0
インフルで外出できないしつまんなくてずっとテレビ見て爆笑してるわ。お見舞い来てくれる人、お土産待ってまーす！	0
東京に来てから鼻水が止まらない・・・。	1
下痢で朝から起きれない。ちょっとやばし	0
祖母の作った親子丼で下痢になった死んだ	0
寒気がする。しかもぼーっとする。これは風邪かも。	0
風邪だから薬を飲んでいるけど、副作用のせいで眠い。休めるなら休めばよかった・・・	0
咳しすぎると疲れるっぽいね。	0
朝起きたら激しい頭痛。やばい。	0
いい花粉症対策、誰か知ってる？	1
隣のやつの咳がわざとらしくてイライラする	0
咳をしすぎて腹筋が痛い。早く治まらないかな。	0
今年はインフルやばいらしいから、ワクチンはしっかりやっとけよー	0
下痢だけど仕事には行かないといけない。	0
起きるとお腹が痛くてやばいと思ったが案の定下痢	0
痰が止まるとすっごい楽になる。	0
咳のしすぎで腹筋が筋肉痛・・・	0
最近寒いし、具合が悪いことが続いてます。今日は下痢。	0
水疱瘡って感染しても熱が出ないケースもあるらしい。	0
胸の痛みはしなくなったが、まだ時々痰が出る	0
頭痛が激しいので早退した	0
長引く頭痛は苦痛以外の何ものでもない	0
いま、インフルのワクチン打ってきた！	0
風邪最悪だけど、休める訳もない。	0
鼻づまりがようやく治ってきて嬉しい。	1
インフルエンザのときは外出をひかえなくちゃね。	0
来春は檜花粉が多いらしい。花粉症には辛いなー。	0
最近いつもお腹が痛い。下痢はしていないが仕事つらい。	0
インフルって悪化したら手術になるのかな？	0
テレビのニュースで高熱が出る感染症が流行っているとのこと。皆さん、気を付けようね。	0
うちの犬が鼻風邪ひいたのか、クシュンクシュン言ってる	0
翻訳作業が苦痛だぁ。頭痛がしてきた。	0
近所の奥様方の声がうるさすぎて、頭痛になって、この家きつすぎる。	0
英語で下痢って何ていうんだっけ。誰か言ってた気がするんだけど思い出せない。	0
インフルのワクチン打ったよ	0
今年は花粉症の対策をしないぞ	0
下痢だが体力をつけるために食う。	0
下痢のときは毒を体から出すと楽になる気がする。	0
昨晩からインフルで寝込んでる	0
まさか花粉症になるとは。	1
昨日から咳が止まらない。	0
帰宅してもまだ、頭痛がするんけど。	0
兄がインフルにかかった！家に受験生いるのにありえないんだけど！	0
毒でも入っていたのか。下痢と嘔吐がとまりません。	0
インフルが怖いから、ワクチン注射しに行く。	0
鼻づまりが止まるまで寝苦しいよ。	1
痰が切れないのかわざとらしく咳をしている。	0
咳がひど過ぎて腹筋やばい	0
頭痛がひどくて今は音楽聴くのもつらい	0
下痢が最近、やばい。	0
微熱が続くから病院行ったら、ただの花粉症しかないって言われた	1
熱を素早く下げる方法、朝のニュースでやってた！	0
咳をするときは手を押さえろよー。それくらい社会人としてのエチケットだろ！	0
鼻風邪くらいなら薬いらねー	1
花粉症対策にはマスクが一番です。	0
ぼーっとしています。だるくしています。寒気がしています。これって風邪？	0
咳するだけでも体力使うし、疲れる。	0
巫女さんのバイトやったら熱でちゃったし	0
ヘッドホンして曲聴いてたけどだんだん頭痛がしてきた。よく見たらフレームが微妙に曲がってて圧迫してたのかも。	0
ずっとお腹がいたいから下痢かもしれない。	0
頭痛がするのは宇宙からの電波を受信している証拠だよ。	0
久しぶりに家族で外出して海老フライ定食を食べた。とってもおいしかった！インフルになって寝込んでいた母もすっかり回復して本当に良かった。	0
そろそろ花粉症対策はじめなければ。	0
おたふく風邪って相当痛いらしいね。	0
集団で下痢になってしまうのが社会問題になっているらしい。	0
契約が必要と聞いて頭痛がしてきた	0
今日はインフルで休んでいる子が沢山いる。	0
頭痛のときに仕事をするのはきついから、早めに対策を取っておくことが必要だ。	0
鼻風邪引いた。家に引きこもって本読むわ。	1
起きるなり下痢、これってやばい？	0
花粉症対策にはヨーグルトがいいみたいだよー。	0
現代科学の叡智を結集しても未だに風邪を治す薬が開発できないのは納得がいかない！	0
仕事中に下痢になっちゃって、ちょっと、もう、早退したいで御座る。	0
軽い頭痛がする。風邪かもしれないから今日はもう寝る。	0
下痢でお腹壊したと学校に言おうかな。	0
いつもと違う食べ物を食べたら、下痢になった。	0
水の様な鼻水が止まらない。やばい学校休む。	1
最近、お腹の調子がちょっとやばい。今日も下痢で朝から具合が悪かったし。	0
鼻水がやばいったらない。薬飲めば止まるかな。	1
インフル薬飲んだら速攻回復した	0
携帯が熱を持ってて、やばい、誰か助けて	0
頭痛の症状軽いから大会出ようかな。	0
娘が熱出して、仕事に行けない	0
ネパールの激辛料理を食べるとその後はいつも下痢だよ。	0
おたふく風邪なら大変だ。	0
兄がインフルエンザ、爆笑	0
娘がまだ熱が下がらないので、会社休みます。	0
熱下がらない。弁当に鼻水たれた。後輩に見られた。最悪だ。	1
このタイミングで風邪とか最悪だろ	0
犬のブログを通じて知り合った人が鼻づまりで息ができず苦しいらしい。たかが鼻水だけの鼻風邪と侮れない。	0
風邪で頭がぼーっとする。	0
だるいし寒気がするし風邪っぽいー	0
インフルエンザだし、部活休むわ。	0
来春の花粉症は軽いといいなぁ。	0
マスクしないでゲホゲホするやつなんなん？咳エチケット守れや。	0
風邪だと思ってたんだけどずっと治らないしなんか病気なのかもしれん。	0
咳が止まらなくて腹筋が痛い	0
花粉症患者にはつらい季節がやって参りました	0
最近お店の仕事が忙しくて疲れる毎日だ。疲れると花粉症の症状もひどくなる。そして遂に妻も花粉症が発症した。	1
